GeographyID,Average annual childcare costs paid by relevant households paying childcare costs,Childcare costs paid by relevant households as a % of median income
E08000025," £3,001.01 ",8.34%
E08000029," £2,723.79 ",6.02%
E08000028," £3,075.43 ",9.82%
E08000030," £3,012.16 ",8.84%
E08000027," £2,836.02 ",7.65%
E08000026," £2,944.50 ",8.19%
E08000031," £2,833.65 ",8.45%
E05011151," £2,737.77 ",9.44%
E05011126," £3,070.87 ",10.72%
E05011168," £3,036.20 ",10.96%
E05011156," £3,050.39 ",13.34%
E05011155," £2,959.99 ",13.44%
E05011122," £3,182.23 ",10.80%
E05011134," £2,610.36 ",5.69%
E05011121," £3,652.50 ",12.08%
E05011150," £3,071.13 ",9.55%
E05011170," £3,727.55 ",12.10%
E05011127," £3,699.51 ",13.03%
E05011167," £4,032.47 ",11.67%
E05011120," £4,082.31 ",12.90%
E05011183," £3,817.21 ",11.40%
E05011145," £3,690.48 ",10.95%
E05011138," £3,090.06 ",9.90%
E05011131," £3,329.18 ",9.53%
E05011182," £3,316.27 ",10.24%
E05011169," £2,908.13 ",7.57%
E05011171," £3,872.50 ",10.13%
E05011140," £3,220.47 ",7.48%
E05011154," £2,659.19 ",6.13%
E05011130," £2,727.68 ",6.33%
E05011124," £2,893.67 ",7.68%
E05011172," £2,689.99 ",6.84%
E05011146," £2,843.85 ",7.65%
E05001298," £2,722.93 ",6.12%
E05011133," £2,843.11 ",9.02%
E05011149," £2,874.97 ",9.50%
E05011128," £2,692.18 ",6.23%
E05011144," £2,716.28 ",6.06%
E05011157," £3,028.08 ",8.46%
E05001278," £3,349.37 ",11.48%
E05011184," £2,892.45 ",8.17%
E05011163," £2,752.18 ",6.72%
E05011153," £3,663.75 ",13.48%
E05011125," £3,223.68 ",11.85%
E05011143," £3,018.69 ",8.08%
E05011142," £3,447.20 ",11.85%
E05011160," £2,954.10 ",7.97%
E05011147," £3,406.62 ",12.39%
E05011161," £2,928.42 ",9.28%
E05011135," £2,757.10 ",7.97%
E05011179," £2,589.88 ",5.18%
E05011173," £2,949.61 ",9.39%
E05011139," £3,033.31 ",10.05%
E05011162," £2,868.47 ",8.13%
E05011181," £2,486.49 ",4.48%
E05011132," £3,202.20 ",14.95%
E05011186," £3,232.07 ",9.63%
E05011185," £2,903.79 ",7.81%
E05001292," £2,839.36 ",6.63%
E05011166," £2,802.08 ",7.65%
E05011137," £3,066.04 ",9.41%
E05001284," £2,645.32 ",6.01%
E05001289," £2,762.07 ",6.52%
E05011118," £2,990.34 ",8.21%
E05001294," £2,572.85 ",5.26%
E05011141," £2,823.54 ",5.89%
E05011119," £2,925.68 ",8.25%
E05011123," £2,809.79 ",9.14%
E05011129," £2,675.25 ",6.59%
E05011148," £2,853.51 ",7.77%
E05011158," £2,682.45 ",6.66%
E05011152," £2,746.90 ",8.19%
E05011136," £2,856.87 ",8.53%
E05011165," £2,916.48 ",10.22%
E05001286," £2,629.30 ",6.32%
E05001300," £3,128.12 ",11.57%
E05001290," £3,100.13 ",11.29%
E05001287," £3,015.47 ",11.76%
E05001271," £2,938.28 ",8.38%
E05011159," £2,876.57 ",8.30%
E05001266," £2,951.22 ",7.94%
E05001263," £2,699.36 ",7.54%
E05001310," £2,885.32 ",6.04%
E05001313," £2,735.30 ",6.70%
E05011164," £2,829.41 ",8.39%
E05001245," £2,525.84 ",5.60%
E05001237," £2,786.09 ",7.77%
E05001244," £2,765.00 ",7.19%
E05001264," £2,967.52 ",9.35%
E05001246," £2,760.80 ",6.70%
E05001242," £2,930.70 ",8.28%
E05001275," £3,058.45 ",9.54%
E05001250," £3,071.40 ",9.99%
E05001261," £2,959.10 ",9.41%
E05001270," £3,005.76 ",10.36%
E05001280," £3,159.99 ",9.88%
E05001277," £3,251.88 ",11.93%
E05001276," £3,491.27 ",10.95%
E05001260," £2,750.23 ",6.87%
E05001262," £3,103.27 ",9.81%
E05001272," £2,936.87 ",8.43%
E05001273," £3,049.68 ",9.52%
E05001268," £3,294.00 ",11.67%
E05001267," £3,083.11 ",10.26%
E05001282," £3,007.32 ",9.80%
E05001269," £3,151.36 ",11.30%
E05001283," £2,856.19 ",9.75%
E05011178," £2,538.13 ",4.94%
E05011174," £2,554.65 ",4.43%
E05001318," £2,566.23 ",5.10%
E05011175," £2,585.04 ",5.19%
E05011177," £2,643.12 ",4.97%
E05011180," £2,545.14 ",5.40%
E05011176," £2,740.67 ",6.67%
E05001285," £2,536.15 ",4.57%
E05001297," £2,613.04 ",5.67%
E05001296," £2,743.85 ",5.65%
E05001295," £2,447.74 ",3.89%
E05001299," £2,639.27 ",5.19%
E05001291," £2,540.56 ",4.41%
E05001293," £2,575.25 ",4.73%
E05001288," £2,589.90 ",4.26%
E05001228," £3,119.43 ",11.23%
E05001226," £2,966.95 ",7.79%
E05001220," £2,753.04 ",7.38%
E05001229," £2,744.33 ",7.24%
E05001233," £2,719.29 ",7.11%
E05001227," £3,083.31 ",9.39%
E05001222," £3,562.99 ",12.16%
E05001223," £3,110.44 ",9.90%
E05001225," £3,019.59 ",9.73%
E05001235," £2,845.02 ",7.38%
E05001230," £3,035.97 ",9.11%
E05001219," £3,052.10 ",10.26%
E05001221," £2,511.31 ",4.84%
E05001231," £2,710.95 ",5.39%
E05001232," £2,892.63 ",7.78%
E05001234," £2,685.71 ",6.99%
E05001218," £2,736.75 ",6.61%
E05001224," £3,119.45 ",8.76%
E05001240," £3,185.29 ",8.68%
E05001254," £2,886.05 ",9.08%
E05001255," £3,266.84 ",10.45%
E05001257," £2,919.51 ",8.67%
E05001253," £3,015.50 ",8.98%
E05001256," £2,643.29 ",6.78%
E05001241," £2,939.26 ",9.25%
E05001336," £2,849.95 ",8.62%
E05001243," £2,748.45 ",7.73%
E05001274," £3,148.48 ",11.49%
E05001279," £3,126.20 ",10.31%
E05001238," £2,955.56 ",9.29%
E05001239," £3,171.71 ",9.85%
E05001236," £2,686.40 ",6.15%
E05001249," £2,860.42 ",8.44%
E05001247," £2,510.11 ",5.77%
E05001248," £2,601.64 ",6.05%
E05001259," £2,653.75 ",6.64%
E05001258," £2,624.33 ",6.69%
E05001251," £2,516.20 ",5.40%
E05001252," £2,674.00 ",5.95%
E05001316," £2,836.29 ",8.87%
E05001311," £3,599.79 ",11.43%
E05001303," £3,205.31 ",11.22%
E05001320," £3,100.15 ",9.99%
E05001305," £3,410.04 ",12.09%
E05001304," £3,285.08 ",11.95%
E05001317," £2,775.69 ",8.38%
E05001307," £3,019.76 ",9.61%
E05001314," £3,437.57 ",12.17%
E05001306," £3,089.64 ",10.78%
E05001312," £2,682.77 ",7.08%
E05001315," £2,861.43 ",8.46%
E05001308," £2,889.11 ",8.40%
E05001302," £2,764.60 ",7.09%
E05001265," £3,291.64 ",11.69%
E05001281," £3,143.19 ",10.48%
E05001309," £3,238.32 ",11.10%
E05001301," £2,661.80 ",6.53%
E05001330," £2,791.40 ",10.80%
E05001335," £3,067.54 ",11.67%
E05001326," £2,850.70 ",10.24%
E05001333," £2,699.42 ",7.41%
E05001325," £3,156.02 ",10.75%
E05001328," £2,855.55 ",8.62%
E05001324," £2,722.44 ",7.93%
E05001332," £2,784.60 ",8.24%
E05001340," £2,807.21 ",8.05%
E05001339," £2,688.05 ",8.18%
E05001319," £2,863.07 ",8.05%
E05001322," £2,832.24 ",8.55%
E05001321," £2,875.88 ",9.38%
E05001327," £3,000.07 ",9.70%
E05001323," £3,056.93 ",9.20%
E05001334," £2,658.16 ",5.70%
E05001329," £2,930.58 ",9.11%
E05001331," £2,704.46 ",7.01%
E05001338," £2,504.19 ",5.66%
E05001337," £2,623.03 ",5.90%
E01033625," £2,512.79 ",6.93%
E01033620," £2,907.91 ",8.93%
E01033615," £2,976.60 ",8.08%
E01033616," £2,492.22 ",10.50%
E01033557," £3,142.07 ",8.73%
E01009146," £2,524.66 ",10.36%
E01033627," £2,663.49 ",10.35%
E01034951," £2,629.54 ",6.98%
E01009141," £2,892.38 ",12.24%
E01033565," £2,245.12 ",7.85%
E01034950," £2,318.00 ",4.76%
E01033623," £2,824.86 ",9.63%
E01033622," £2,522.96 ",6.21%
E01033617," £2,173.88 ",6.90%
E01034930," £2,948.32 ",9.62%
E01033561," £2,608.79 ",11.81%
E01033567," £2,426.24 ",7.00%
E01009200," £3,051.71 ",12.13%
E01034947," £2,807.51 ",8.64%
E01033640," £2,592.35 ",8.15%
E01008995," £2,882.17 ",12.40%
E01009362," £2,898.32 ",12.47%
E01008996," £3,038.89 ",10.63%
E01008984," £2,767.32 ",9.17%
E01008982," £2,621.57 ",6.20%
E01034937," £2,266.54 ",4.41%
E01008997," £2,663.38 ",5.25%
E01034926," £3,164.23 ",13.08%
E01008910," £3,374.83 ",14.27%
E01008913," £2,850.24 ",14.02%
E01008901," £3,111.74 ",11.94%
E01034924," £3,793.98 ",12.52%
E01034923," £3,474.64 ",13.36%
E01009062," £3,850.79 ",13.59%
E01009060," £3,707.67 ",12.36%
E01009054," £3,916.12 ",10.18%
E01009061," £3,895.17 ",11.96%
E01034920," £4,157.74 ",11.96%
E01034919," £3,622.02 ",12.23%
E01008916," £4,144.53 ",14.85%
E01009058," £3,787.75 ",11.06%
E01009053," £3,844.32 ",14.49%
E01008899," £3,082.56 ",13.01%
E01009232," £2,908.25 ",8.28%
E01008915," £3,349.29 ",11.31%
E01009202," £3,165.22 ",14.76%
E01034927," £3,123.18 ",15.88%
E01009204," £2,989.77 ",14.25%
E01009363," £3,186.71 ",11.96%
E01009380," £3,998.07 ",13.10%
E01009379," £3,202.25 ",13.12%
E01034928," £2,912.60 ",16.02%
E01009201," £3,048.86 ",12.04%
E01009338," £3,964.27 ",11.76%
E01009329," £3,631.88 ",11.37%
E01009337," £4,189.07 ",12.69%
E01034935," £4,217.13 ",13.05%
E01034934," £3,976.79 ",15.50%
E01009192," £4,246.58 ",11.74%
E01034932," £3,678.10 ",11.26%
E01034933," £4,017.33 ",12.19%
E01009489," £4,276.44 ",13.12%
E01009483," £4,016.43 ",13.81%
E01009335," £4,093.28 ",11.31%
E01009332," £3,532.32 ",14.25%
E01009484," £3,942.48 ",14.34%
E01009479," £4,044.89 ",13.52%
E01009482," £3,942.28 ",14.74%
E01009334," £3,806.76 ",10.08%
E01009328," £4,227.86 ",11.73%
E01009344," £4,003.91 ",14.57%
E01033642," £4,098.24 ",11.84%
E01009325," £3,964.94 ",12.94%
E01009342," £3,803.68 ",9.26%
E01009326," £3,734.62 ",10.50%
E01009343," £3,767.30 ",11.83%
E01009492," £3,698.50 ",11.04%
E01009487," £3,957.88 ",10.91%
E01009327," £4,203.41 ",11.42%
E01009490," £3,489.14 ",11.36%
E01009090," £3,602.56 ",7.93%
E01009486," £3,975.62 ",11.51%
E01009478," £3,438.04 ",12.21%
E01009480," £3,681.00 ",10.95%
E01009086," £3,542.91 ",9.02%
E01009481," £3,838.21 ",10.74%
E01009331," £4,081.60 ",11.76%
E01009477," £3,381.81 ",10.29%
E01009371," £4,011.16 ",13.19%
E01009365," £3,363.67 ",12.85%
E01009368," £3,555.31 ",12.60%
E01009485," £3,987.53 ",11.87%
E01009364," £2,623.17 ",11.85%
E01034931," £4,676.20 ",12.46%
E01009195," £4,302.70 ",12.81%
E01033649," £4,216.92 ",11.69%
E01033650," £3,974.00 ",11.73%
E01009491," £4,011.43 ",12.07%
E01009488," £4,031.83 ",14.06%
E01009476," £3,645.65 ",11.33%
E01009372," £4,137.62 ",11.42%
E01009373," £4,007.01 ",12.41%
E01009367," £3,403.35 ",10.50%
E01009475," £3,960.20 ",12.14%
E01009199," £2,930.71 ",10.06%
E01009377," £3,767.84 ",14.13%
E01008884," £3,355.62 ",10.92%
E01008889," £3,056.72 ",8.24%
E01008890," £2,955.67 ",7.99%
E01009333," £4,263.35 ",13.21%
E01009026," £3,157.21 ",9.37%
E01009028," £3,494.74 ",10.09%
E01034954," £3,673.84 ",10.31%
E01009197," £3,954.15 ",11.42%
E01034952," £3,438.31 ",10.46%
E01009341," £3,229.59 ",11.64%
E01009339," £3,908.77 ",12.46%
E01009391," £3,774.35 ",10.42%
E01009393," £4,062.31 ",10.92%
E01034955," £3,966.98 ",10.26%
E01009017," £3,713.84 ",8.87%
E01009014," £3,050.45 ",8.12%
E01009018," £2,752.81 ",7.36%
E01009029," £3,405.19 ",9.05%
E01033643," £4,112.11 ",12.55%
E01034953," £4,146.97 ",11.54%
E01009396," £4,015.22 ",10.37%
E01009395," £3,280.03 ",8.66%
E01009392," £3,791.73 ",8.96%
E01009394," £2,821.57 ",6.37%
E01009382," £4,031.59 ",10.44%
E01009389," £3,496.61 ",7.99%
E01009383," £3,477.56 ",9.83%
E01009397," £4,016.17 ",12.81%
E01009399," £4,311.45 ",13.54%
E01034946," £2,482.59 ",9.03%
E01033648," £3,464.40 ",11.27%
E01009375," £3,813.43 ",13.05%
E01009376," £3,243.55 ",11.63%
E01009384," £2,658.47 ",8.28%
E01009366," £3,208.02 ",10.65%
E01009374," £3,064.32 ",11.81%
E01034939," £3,361.72 ",9.57%
E01034938," £3,709.75 ",10.12%
E01009182," £2,668.64 ",8.36%
E01009179," £2,622.98 ",5.67%
E01008932," £3,012.50 ",8.61%
E01009176," £2,778.59 ",6.40%
E01008933," £3,127.44 ",7.16%
E01008935," £3,031.28 ",9.13%
E01009046," £3,137.51 ",6.46%
E01009031," £3,051.42 ",6.32%
E01008934," £2,900.67 ",5.69%
E01008937," £2,868.95 ",7.85%
E01008939," £2,961.77 ",9.31%
E01008938," £3,128.19 ",9.21%
E01008968," £2,616.35 ",5.29%
E01008971," £2,801.12 ",7.40%
E01008969," £2,482.37 ",5.65%
E01008936," £2,841.53 ",7.13%
E01009184," £2,531.10 ",5.48%
E01009385," £2,369.73 ",6.09%
E01009186," £2,557.51 ",5.07%
E01009183," £2,520.98 ",4.09%
E01008964," £2,708.53 ",7.33%
E01008963," £2,737.84 ",7.29%
E01009390," £2,620.36 ",6.72%
E01009187," £2,624.92 ",4.95%
E01009185," £2,460.22 ",5.31%
E01009044," £3,658.55 ",9.29%
E01009045," £3,287.34 ",7.43%
E01009189," £2,654.43 ",5.18%
E01009175," £2,566.55 ",5.18%
E01009188," £2,611.24 ",5.18%
E01008943," £2,894.63 ",8.48%
E01008945," £2,983.03 ",8.17%
E01008941," £2,981.45 ",8.93%
E01008940," £2,952.89 ",9.13%
E01008944," £2,796.87 ",8.16%
E01008946," £2,744.93 ",7.71%
E01010218," £2,711.93 ",8.67%
E01008942," £3,127.69 ",8.89%
E01008947," £2,901.93 ",8.06%
E01008949," £2,531.21 ",5.81%
E01008948," £2,621.71 ",6.57%
E01008974," £2,962.16 ",7.18%
E01008976," £2,885.97 ",9.46%
E01008978," £2,790.30 ",15.10%
E01008980," £2,983.75 ",11.70%
E01008979," £2,805.78 ",10.64%
E01009120," £2,692.98 ",7.22%
E01008981," £2,498.32 ",4.50%
E01008967," £2,606.78 ",5.65%
E01008970," £2,902.15 ",7.73%
E01008966," £2,922.72 ",8.23%
E01008973," £2,780.14 ",7.38%
E01008975," £2,581.01 ",6.36%
