dpid,g_gsDatasetInfo,id,hkgsDataProviderList,uuid
5BE565B4,Aided Primary Schools,41f53d43-7d82-4e44-9a9e-d4e9d1c4781c,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
5BE565B4,Aided Secondary Schools,b545518d-efe1-446d-8525-530b23047aba,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
5BE565B4,Aided Special Schools,afeaa575-a1b7-4975-838d-f3364140879f,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
C9935818,Air Quality Monitoring Network of Hong Kong,f94ad59d-a970-407a-abc6-8e5877f7efb0,Environmental Protection Department,e31e12f0-3a12-4a4c-8fba-a5f173bfe9d1
165E709F,Badminton Courts,f9ca5378-c23d-4c9c-9ea5-198c40298fd7,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
5D6ACD9E,Barbecue Areas (AFCD),93da2d9d-d45d-4d4b-b7ba-b5ed310c4930,Agriculture Fisheries and Conservation Department,4fcad63f-6e71-4873-a1c2-85c3fa682e1f
165E709F,Barbecue Areas (LCSD),c4aabc15-156c-4aa5-ba6e-145f62972160,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Basketball Courts,fb65b9aa-05d9-4768-a8b1-148072180ba1,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
165E709F,Beaches,4d25dee2-0077-4e08-8ef0-e0c47b85541f,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
2D367B34,Bedspace Apartments (Licensed),c17189ae-26e9-47ba-8157-13470e107e3f,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
8286E747,Births and Deaths Registries,f2a15891-25cd-454c-b032-619182c827d8,Immigration Department,9034ef82-7daa-40c7-be98-0f276101cd18
165E709F,Bowling Greens,d9e16fa2-262b-4dd9-b553-0ee99957a670,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
5D6ACD9E,Camp Sites,8d6eb5e8-13be-4b79-b0c2-19f647009c54,Agriculture Fisheries and Conservation Department,4fcad63f-6e71-4873-a1c2-85c3fa682e1f
5BE565B4,Caput Secondary Schools,c0a69b19-bf9d-47be-9aa7-286363a6d869,Education Bureau,ff0a38ae-7a4e-4502-921f-86628dc78476
1992C279,Care and Attention Home for Severely Disabled Persons,c3150960-1e04-478e-9b11-41c2d488d48f,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Care and Attention Home for the Aged Blind,1ef0ed6d-80db-4988-8163-6397b1ff771b,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
1992C279,Child Care Centre,2cbe89f7-b959-4259-97c6-1610e7a2d9d1,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
165E709F,Children's Play Rooms,41b1ee77-984d-4651-8876-0084ecf372df,Leisure and Cultural Services Department,1050dde5-446f-4233-ad91-82cbdad5e947
8B5003FB,Clinics / Health Centres under the Department of Health,fe3738e1-c632-4724-9568-ffd41e435c02,Department of Health,ea9adeb0-9509-412e-a3d9-e7e394ba3e2e
1992C279,Communication and Information Service Unit for Visually Impaired Persons,a9f0b1ac-a78c-48f1-943d-6f59ef2be442,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
2D367B34,Community Halls & Community Centres,ab11c2b0-8437-41d2-afe7-9f4418b817df,Home Affairs Department,afdfff49-e6f0-4256-b480-506bb8aecffe
1992C279,Community Rehabilitation Day Centre,84746aef-0930-4e0e-a146-2f8fdf21eb63,Social Welfare Department,945aae53-9a34-4cb8-82b5-2a52991aed6e
