Metric Type Identifier,Metric Type (Short Label),Measurement Unit,Measurement Unit (Short Label),MetricTypeKey,Source,Metric Type,Hyperlink,Theme,Subcategory
Industry emissions (kt CO2),Industry emissions,kilotonnes of carbon dioxide,kt co2,Industry emissions (kt CO2),"Department for Business, Energy & Industrial Strategy",Industry emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Commercial emissions,Commercial emissions,kilotonnes of carbon dioxide,kt co2,Commercial emissions,"Department for Business, Energy & Industrial Strategy",Commercial emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Public Sector emissions,Public Sector emissions,kilotonnes of carbon dioxide,kt co2,Public Sector emissions,"Department for Business, Energy & Industrial Strategy",Public Sector emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Domestic emissions,Domestic emissions,kilotonnes of carbon dioxide,kt co2,Domestic emissions,"Department for Business, Energy & Industrial Strategy",Domestic emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Transport emissions,Transport emissions,kilotonnes of carbon dioxide,kt co2,Transport emissions,"Department for Business, Energy & Industrial Strategy",Transport emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
LULUCF Net Emissions,LULUCF Net emissions,kilotonnes of carbon dioxide,kt co2,LULUCF Net Emissions,"Department for Business, Energy & Industrial Strategy",LULUCF Net Emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Grand Total Emissions,Total emissions,kilotonnes of carbon dioxide,kt co2,Grand Total Emissions,"Department for Business, Energy & Industrial Strategy",Grand Total Emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Population ('000s) MYE,Population (in thousands),people,people,Population ('000s) MYE,"Department for Business, Energy & Industrial Strategy",Population (in thousands),https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Per Capita Emissions (t),Per Capita Emissions (tonnes),tonnes,tonnes,Per Capita Emissions (t),"Department for Business, Energy & Industrial Strategy",Per Capita Emissions,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
Area (km2),Area (sq km),km2,km2,Area (km2),"Department for Business, Energy & Industrial Strategy",Area,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-carbon-dioxide-emissions-national-statistics-2005-to-2019,Emissions,Emissions
