Period,Period Start,Period End,Period Type,Period Frequency,PeriodKey
2005,01/01/2005,31/12/2005,Calendar,Annual,2005
2006,01/01/2006,31/12/2006,Calendar,Annual,2006
2007,01/01/2007,31/12/2007,Calendar,Annual,2007
2008,01/01/2008,31/12/2008,Calendar,Annual,2008
2009,01/01/2009,31/12/2009,Calendar,Annual,2009
2010,01/01/2010,31/12/2010,Calendar,Annual,2010
2011,01/01/2011,31/12/2011,Calendar,Annual,2011
2012,01/01/2012,31/12/2012,Calendar,Annual,2012
2013,01/01/2013,31/12/2013,Calendar,Annual,2013
2014,01/01/2014,31/12/2014,Calendar,Annual,2014
2015,01/01/2015,31/12/2015,Calendar,Annual,2015
2016,01/01/2016,31/12/2016,Calendar,Annual,2016
2017,01/01/2017,31/12/2017,Calendar,Annual,2017
2018,01/01/2018,31/12/2018,Calendar,Annual,2018
2019,01/01/2019,31/12/2019,Calendar,Annual,2019
2020,01/01/2020,31/12/2020,Calendar,Annual,2020
